t ,hm, hest, vest, Nest, dest, actualwished
2.70094, -0.003, 0.00303135, 0.1125, 0.0511504, 0.00199992, -0.0146784, -0.129091
2.72049, -0.015, 0.00301346, 0.107172, 0.0521601, 0.00290571, -0.0146784, -0.13506
2.74897, 0, -0.000713708, 0.0764033, 0.0557995, 0.00579489, -0.0134129, -0.159563
2.77901, -0.008, 0.00172401, 0.0858752, 0.0553363, 0.00560127, -0.0134129, -0.154956
2.8009, 0.011, -0.00234075, 0.0455177, 0.0603861, 0.00965842, -0.0134129, -0.188242
2.8269, -0.028, 0.00214203, 0.0727845, 0.0576613, 0.00764477, -0.0134129, -0.168737
2.8378, 0.004, -0.00830035, -0.00419665, 0.0659583, 0.0139984, -0.0142283, -0.226304
2.85705, 0.012, -0.00374682, 0.0255031, 0.0626939, 0.0115382, -0.0142283, -0.203724
2.88097, -0.004, 0.00396848, 0.0742292, 0.0576354, 0.00776905, -0.0142283, -0.168035
2.9099, -0.019, 0.00319139, 0.0658417, 0.0586492, 0.00858407, -0.0142283, -0.174772
2.92801, 0.007, -0.00978112, -0.0324299, 0.0692635, 0.0167516, -0.0142283, -0.248324
2.95165, 0.013, -0.00566948, -0.00425442, 0.0660797, 0.0143212, -0.013661, -0.226519
2.971, -0.014, 0.00422716, 0.0610599, 0.0590569, 0.00900675, -0.013661, -0.177585
2.99196, 0, -0.00170467, 0.0153415, 0.0640299, 0.0128337, -0.013661, -0.211942
3.02343, -0.026, -0.000729165, 0.0194203, 0.0635488, 0.0124834, -0.013661, -0.208624
3.0499, -0.027, -0.014243, -0.0760734, 0.0734168, 0.0199573, -0.0141011, -0.27812
3.06323, -0.015, -0.0199275, -0.111382, 0.0765574, 0.0222482, -0.0141011, -0.301541
3.091, -0.039, -0.0204998, -0.10567, 0.0747896, 0.0207238, -0.0141011, -0.292083
3.10992, -0.042, -0.0268037, -0.143777, 0.0782822, 0.0232903, -0.0141011, -0.317889
3.12843, -0.023, -0.0369209, -0.201247, 0.0832332, 0.0268639, -0.0141011, -0.355431
3.15786, -0.04, -0.0357835, -0.180706, 0.0800405, 0.0242752, -0.0139115, -0.335778
3.17969, -0.012, -0.0446252, -0.218195, 0.0822912, 0.025708, -0.0139115, -0.356102
3.20975, -0.016, -0.0326941, -0.112276, 0.0696476, 0.0158979, -0.0139115, -0.271646
3.23978, 0.003, -0.0266239, -0.0547957, 0.0630734, 0.0108914, -0.0139115, -0.227327
3.2587, 0.002, -0.0184442, 0.00675765, 0.0566491, 0.00607984, -0.0123279, -0.182411
3.27995, -0.008, -0.00957184, 0.0709187, 0.0503787, 0.00145414, -0.0123279, -0.137545
3.29902, -0.009, -0.00800048, 0.0809092, 0.0498833, 0.00120849, -0.0123279, -0.132842
3.32048, 0.003, -0.00686041, 0.0869338, 0.0499223, 0.00139208, -0.0123279, -0.131595
3.34083, -0.012, 0.000492436, 0.133113, 0.0461061, -0.00126559, -0.0123279, -0.102441
3.36057, -0.001, -0.00104761, 0.117913, 0.0483918, 0.000613767, -0.0132285, -0.116808
3.38098, -0.029, 0.00193703, 0.130808, 0.048059, 0.000601807, -0.0132285, -0.11201
3.40193, 0, -0.00757736, 0.0586549, 0.0564152, 0.00710879, -0.0132285, -0.168688
3.42181, -0.023, -0.00355405, 0.082681, 0.0542882, 0.00559574, -0.0132285, -0.1528
3.44287, -0.011, -0.00746443, 0.0527311, 0.0577323, 0.00827442, -0.0132285, -0.176202
3.46607, -0.006, -0.00788701, 0.0448421, 0.0590046, 0.00934818, -0.0131674, -0.184003
3.49207, -0.033, -0.00579911, 0.0549579, 0.0582562, 0.00885822, -0.0131674, -0.177939
3.50815, 0.012, -0.0104369, 0.0215437, 0.0618639, 0.0116139, -0.0131674, -0.202972
3.52855, 0.007, -0.00163797, 0.0792746, 0.055948, 0.00717234, -0.0131674, -0.161087
3.54993, -0.012, 0.00356719, 0.10842, 0.0533584, 0.00531517, -0.0131674, -0.141683
3.56668, -0.025, -0.000191716, 0.0749736, 0.0573893, 0.0084778, -0.0132285, -0.168563
3.59033, 0.012, -0.00862022, 0.0113847, 0.0643431, 0.0138029, -0.0132285, -0.216534
3.61107, -0.022, 0.00165893, 0.0782207, 0.0573381, 0.00850495, -0.0132285, -0.167264
3.63083, 0, -0.00568541, 0.0220302, 0.0635043, 0.0132299, -0.0132285, -0.209733
3.66007, -0.008, -0.00437028, 0.0293952, 0.0627375, 0.0126512, -0.0132285, -0.204288
3.675, -0.017, -0.0056935, 0.0144909, 0.0643486, 0.0138819, -0.0129849, -0.215296
3.70082, -0.008, -0.0108142, -0.0235096, 0.0682337, 0.0167966, -0.0129849, -0.242673
3.72051, -0.008, -0.0104016, -0.0207605, 0.0677661, 0.0164035, -0.0129849, -0.239783
3.74006, 0.007, -0.00989488, -0.017454, 0.067179, 0.015907, -0.0129849, -0.236185
3.76096, -0.01, -0.0022166, 0.0343287, 0.0615434, 0.0115975, -0.0129849, -0.19707
3.77591, -0.011, -0.00390085, 0.0204037, 0.0630681, 0.0127639, -0.0131064, -0.207547
3.80094, 0.012, -0.00673703, -0.00194024, 0.0654118, 0.0145392, -0.0131064, -0.223895
3.82094, 0.007, 0.000282055, 0.0445272, 0.0604793, 0.0107949, -0.0131064, -0.189369
3.84099, -0.023, 0.00371348, 0.063741, 0.0586484, 0.00944813, -0.0131064, -0.175979
3.86861, -0.012, -0.000773883, 0.0306095, 0.0622225, 0.0121737, -0.0131064, -0.200756
3.89194, -0.008, -0.00815626, -0.0261346, 0.0682512, 0.0167524, -0.0132285, -0.24268
3.91084, -0.008, -0.00859678, -0.0288426, 0.0682788, 0.0167227, -0.0132285, -0.243451
3.93989, -0.021, -0.00890361, -0.0303657, 0.0682018, 0.0166186, -0.0132285, -0.243454
3.95014, -0.009, -0.0145113, -0.0673747, 0.0717539, 0.0192439, -0.0132285, -0.269151
3.97015, 0.007, -0.0137823, -0.0589518, 0.0704161, 0.0181436, -0.0132285, -0.260885
3.99482, -0.011, -0.00652374, -0.00624313, 0.0645173, 0.0136108, -0.0120938, -0.220423
4.02092, 0.005, -0.00915636, -0.0239053, 0.0662844, 0.0149112, -0.0120938, -0.233001
4.04117, -0.011, -0.00649857, -0.00519019, 0.0642632, 0.0133625, -0.0120938, -0.21896
4.0611, -0.019, -0.00913311, -0.0228225, 0.0660455, 0.0146796, -0.0120938, -0.231606
4.10005, 0.001, -0.0137727, -0.0527761, 0.0690077, 0.0168719, -0.013661, -0.252831
4.12002, -0.029, -0.00664612, 0.000803771, 0.0629283, 0.0122071, -0.013661, -0.21138
4.14092, 0.006, -0.0175825, -0.072965, 0.0705926, 0.01802, -0.013661, -0.265374
4.16094, -0.008, -0.0101442, -0.0175651, 0.0644245, 0.013299, -0.013661, -0.223056
4.18188, 0.015, -0.00966253, -0.0125157, 0.0638181, 0.0128471, -0.013661, -0.219051
4.20195, 0.004, -0.000619591, 0.0501496, 0.0572696, 0.00791706, -0.011633, -0.173101
4.22184, 0.021, 0.00212018, 0.0660882, 0.0559733, 0.00699476, -0.011633, -0.163068
4.2491, 0.003, 0.00635552, 0.0928167, 0.0534159, 0.00509979, -0.011633, -0.1445
4.27869, -0.005, 0.00750631, 0.0893649, 0.0548922, 0.0064059, -0.011633, -0.151991
4.28965, -0.003, 0.00458151, 0.0632631, 0.0580988, 0.00890478, -0.0128038, -0.173231
4.32058, 0.002, 0.00211066, 0.0388761, 0.0610942, 0.0112567, -0.0128038, -0.193032
4.35052, -0.003, 0.00321219, 0.0408618, 0.0610917, 0.0112899, -0.0128038, -0.192373
4.37976, 0.018, 0.000995801, 0.0201537, 0.0634407, 0.0130959, -0.0128038, -0.208273
4.38977, 0.024, 0.00446293, 0.0422587, 0.0611507, 0.0113653, -0.0114629, -0.192088
4.4146, 0.006, 0.0141659, 0.103076, 0.0550301, 0.00674776, -0.0114629, -0.148357
